listing_id,number,score
13274006,86,4.93
13288738,1,5.0
13291603,4,4.25
13296251,187,4.85
13309475,3,4.33
13312397,1,4.0
13314148,11,5.0
13320332,160,4.58
13326351,12,4.83
13328227,55,4.85
13338141,134,4.96
13343644,1,3.0
13344477,2,4.0
13352360,25,4.35
13372909,6,5.0
13376776,135,4.23
13376902,54,4.83
13388904,12,4.58
13391968,7,4.67
13397033,27,4.85
13405707,41,4.93
13407828,9,4.56
13411072,13,4.75
13412185,4,5.0
13414197,2,5.0
13423008,5,4.8
13425025,5,4.4
13432622,8,4.88
13440759,58,4.95
13444781,6,5.0
13449411,2,5.0
13449518,2,3.0
13449542,1,5.0
13450711,17,4.59
13451625,2,4.5
13451668,20,4.95
13455156,4,4.5
13460225,3,5.0
13474729,6,4.83
13474984,95,4.83
13476709,82,4.29
13478425,2,4.5
13478834,6,5.0
13485714,5,4.8
13490110,108,4.96
13491814,1,5.0
13492311,5,5.0
13504505,234,4.96
13514198,49,4.92
13521129,317,4.81
13524806,24,4.84
13530393,76,4.89
13535141,6,4.83
13538844,8,4.25
13539622,87,4.88
13540670,27,4.7
13544982,31,4.72
13545935,205,4.8
13546167,214,4.83
13546713,28,4.59
13558807,2,5.0
13576857,260,4.68
13577314,367,4.32
13583555,242,4.62
13585175,230,4.73
13587448,3,5.0
13589418,5,5.0
13592929,15,5.0
13597329,4,4.75
13602045,43,4.47
13602415,34,4.76
13610824,21,4.9
13612781,7,3.71
13619806,131,4.95
13620184,112,4.58
13620699,3,3.67
13621722,3,4.33
13631175,19,4.89
13638012,4,4.5
13654990,8,4.88
13655139,1,5.0
13656446,1,3.0
13657431,93,4.95
13658185,199,4.24
13668400,2,5.0
13669072,260,4.73
13686644,163,4.89
13689736,592,4.43
13691396,3,4.67
13693205,7,4.86
13707984,4,4.75
13711379,1,5.0
13739315,2,5.0
13740674,91,4.88
13742700,52,4.67
13749993,119,4.92
13750546,22,4.55
13757779,5,4.2
13759408,588,4.58
13759419,78,4.85
13764890,2,4.5
13767409,241,4.55
13767500,5,4.6
13774416,38,4.72
13779492,1,5.0
13783906,22,4.64
13786700,28,4.46
13787166,560,4.46
13792057,42,4.9
13794228,19,4.47
13796842,94,4.88
13797447,164,4.95
13799063,3,4.33
13810912,7,4.71
13811690,1,5.0
13812067,7,4.67
13812621,102,4.86
13813290,85,4.85
13813984,133,4.96
13814160,48,4.81
13817859,132,4.94
13828417,227,4.85
13833899,84,5.0
13837425,1,5.0
13839096,14,4.64
13840148,5,3.6
13845577,3,4.67
13849186,2,5.0
13855963,2,5.0
13863733,2,5.0
13870616,4,5.0
13875674,2,5.0
13904831,2,5.0
13910515,6,4.5
13912999,7,4.86
13913649,5,4.6
13914142,6,4.8
13914639,55,4.75
13923401,15,4.4
13925561,1,5.0
13939258,59,4.85
13947990,4,5.0
13949040,79,4.54
13949954,393,4.88
13966866,20,4.8
13970318,2,4.5
13988513,3,4.67
13995712,51,4.92
13996203,467,4.98
14005062,7,3.0
14005777,7,1.83
14006048,2,5.0
14012265,4,5.0
14014802,45,4.84
14035113,24,4.55
14040519,92,4.93
14040711,135,4.93
14052487,244,4.59
14060494,2,5.0
14064980,6,5.0
14069865,13,4.58
14075685,47,4.91
14079582,12,4.82
14084978,9,3.75
14086734,46,4.61
14088690,21,4.48
14104645,4,4.33
14119109,4,4.75
14120706,47,4.78
14124147,2,5.0
14132419,438,4.77
14135807,9,5.0
14146712,1,4.0
14147637,1,5.0
14150388,114,4.73
14151634,47,4.61
14157433,90,4.86
14160004,1,5.0
14174485,1,5.0
14185013,7,4.86
